iter	Passed	Remaining
204	1198	4647
205	1203	4640
206	1209	4634
207	1215	4627
208	1221	4621
209	1226	4615
210	1232	4610
211	1238	4604
212	1245	4600
213	1251	4597
214	1257	4592
215	1263	4587
216	1270	4583
217	1276	4578
218	1281	4571
219	1287	4564
220	1293	4557
221	1298	4551
222	1304	4545
223	1309	4537
224	1315	4530
225	1320	4522
226	1326	4515
227	1331	4508
228	1337	4502
229	1343	4496
230	1348	4490
231	1354	4483
232	1360	4480
233	1366	4473
234	1372	4467
235	1378	4463
236	1384	4458
237	1390	4451
238	1396	4445
239	1401	4438
240	1406	4431
241	1412	4423
242	1417	4416
243	1423	4410
244	1429	4405
245	1435	4398
246	1441	4394
247	1447	4387
248	1453	4383
249	1459	4377
250	1465	4371
251	1470	4365
252	1476	4359
253	1482	4352
254	1487	4345
255	1493	4339
256	1499	4333
257	1504	4326
258	1510	4320
259	1515	4314
260	1521	4307
261	1527	4301
262	1533	4296
263	1538	4289
264	1544	4283
265	1549	4276
266	1555	4269
267	1560	4263
268	1566	4257
269	1572	4251
270	1578	4245
271	1583	4238
272	1589	4232
273	1594	4225
274	1600	4219
275	1606	4214
276	1611	4207
277	1617	4200
278	1622	4193
279	1628	4188
280	1634	4182
281	1640	4175
282	1646	4170
283	1652	4165
284	1658	4160
285	1664	4155
286	1670	4149
287	1676	4145
288	1682	4140
289	1688	4134
290	1694	4128
291	1700	4122
292	1705	4115
293	1711	4109
294	1717	4103
295	1722	4097
296	1728	4090
297	1734	4085
298	1739	4079
299	1746	4074
300	1752	4069
301	1758	4064
302	1764	4058
303	1770	4052
304	1776	4047
305	1782	4042
306	1788	4036
307	1794	4031
308	1799	4024
309	1805	4018
310	1810	4011
311	1816	4004
312	1821	3998
313	1827	3991
314	1832	3985
315	1838	3978
316	1844	3973
317	1849	3967
318	1855	3962
319	1861	3956
320	1867	3950
321	1873	3945
322	1879	3939
323	1885	3933
324	1890	3927
325	1896	3921
326	1902	3915
327	1908	3909
328	1913	3903
329	1919	3897
330	1925	3890
331	1930	3884
332	1936	3878
333	1942	3872
334	1947	3866
335	1953	3860
336	1959	3854
337	1965	3848
338	1970	3841
339	1976	3836
340	1982	3831
341	1988	3825
342	1994	3820
343	1999	3813
344	2005	3807
345	2010	3801
346	2016	3794
347	2022	3789
348	2028	3783
349	2033	3776
350	2039	3770
351	2044	3764
352	2050	3758
353	2056	3753
354	2062	3747
355	2068	3742
356	2074	3736
357	2080	3730
358	2085	3724
359	2091	3718
360	2097	3713
361	2103	3707
362	2109	3701
363	2114	3695
364	2120	3688
365	2125	3681
366	2131	3676
367	2136	3669
368	2142	3663
369	2147	3657
370	2153	3651
371	2159	3645
372	2164	3639
373	2170	3632
374	2176	3626
375	2181	3620
376	2187	3614
377	2193	3608
378	2199	3603
379	2204	3597
380	2210	3591
381	2216	3585
382	2221	3579
383	2227	3573
384	2233	3567
385	2239	3561
386	2245	3556
387	2250	3550
388	2256	3543
389	2261	3537
390	2267	3531
391	2273	3525
392	2279	3520
393	2285	3515
394	2291	3509
395	2297	3504
396	2303	3498
397	2308	3492
398	2314	3486
399	2320	3481
400	2326	3475
401	2332	3469
402	2338	3463
403	2344	3458
404	2350	3453
405	2356	3447
406	2362	3442
407	2368	3436
408	2374	3430
409	2380	3425
410	2385	3418
411	2391	3413
412	2397	3407
413	2402	3401
414	2408	3395
415	2413	3388
416	2419	3382
417	2425	3376
418	2430	3370
419	2436	3364
